Index,Number
0,10110111100011001111110011111001000001110000100011110100100111011011000010001111010011101100011001110111001011011011101001011110
1,11111011101101111000000100011101011011100011111100110111000010000111001011101001010101101100011110011100110110001010111111001100
2,00101110011001100110000101100001001110111111011111001000111110110010010100011111001110010010110010100000110111011101110000110111
3,01001100000111010110000011001101110111011101011101111010001110101010011001011110010100110110010011101001110001110010110111110011
4,01000111001101110010110001101110111100110111110101100001101000111111101010111100011001100000000100010011001110100111101101011100
5,10001110011011001111010101101100110010111000111101100101110010011101100101111111110110000000001110101111100111100111000011110100
6,11000111011110110011100011010001001101110000010110011001110111011000000100011000010100100001000001000100110010101100110100001101
7,00001100011101000110000111000100110111000010011100010100111001001001111001010000011110010001100100010001101010100010110001000011
8,00101111011000100011111001011001111111000100100111000001011000111111000000110010011011010011110111111010001110001001111111100111
9,01011111100001111010101111001110011100111001010011011000101001011001000110001000010000010110111001101000110011111101110101110110
10,11010001010001111011000100011011110101101010011001000011000000001000110011100111010001010110111001101011000010101101100101101000
11,10101100100111100101000111000000101111111000010100101000101001100110110001010111010111001001000001010001111111111011110000010101
12,10100100110110100111110000010011101100001000010011011000000001101111110000110001011101000010010001110101111111111011101111000101
13,01011101110101001011111011111100110001101001110101100010101000001000110101001101010111101000110100001100100001000110110010001100
14,00011011000111111001011000111111100011101101110011011111111001101111001101000101100000001111001010111010010010111000001111111101
15,00111010000110100110100111011101101111101001010111010011011111010110010000010110001100001100001100110111101011011100011010111001
16,01101111110001110001111111001111101110111010011001010100011111101011110101100001000010110100011111100011110011110110001101101010
17,01011011100001101010011111001111011101000111001010101110010110010010000001001111001110111101110110101011001110000110110110011001
18,10100010100010101000101110111101010100011011000111110011001110011110111111010100011100000001000111110000001000100010010110010100
19,11101110101011000011110011001111101101101001110110110001110111010100010100010101110100100110100110100101011010101011011101101000
20,01011101111110011110010110111101111000101101011111100100100111110001100000110011001110111001000100111100111110010111111100111101
21,11110111101100110110011001111101101110011110100100110101100100000110011110000101011011110010111101010001010011110010010100010101
22,10010010001111101100010000010001100111101110000010111010000101111000011110001001110011011110011001111011011001100111011101100110
23,10111101111110100111011000011101101001001111010111010110011001011100011001111011110011011111000111001110110011001110001000111100
24,11011111011011011001100001101011010011001111101001011100101110010010100011111101011101101110101010001001111100011001101101100001
25,00100000010110111001101110101001111011111110001101101100100101100101110110000111100111001101010101010011011001111101011001001000
26,10111110000101111011011010111100001010110100101000100111000001110010101110010111101001100110100101110011001100111010110011101101
27,10101101000110111011111101011001100111101100011110110111111111111101110101111010001110011110100111010100111001110011011111011110
28,11111010111110101101010000000001101101011001001001010110010100110111101000111111111011111000101100100001111111111100000010000101
29,11110100101111101111011100100010011000110100110110101100110101111001000110100000011111111101101111101000110100010010110000000111
30,11110100100101111100011110111011010001111110110100111101111010110001110011011000010000011101011010010001011101111100100101011101
31,11010001001111001010110001000011101101001101101000111001001011100101001110101101011001111101000011111100101011111000110110111010
32,10000110001111000101011111101111110110011110101101101001100110110010111001011110100101011110010100100001001110001101001001100101
33,10100011010101111001011000101001000100010110101111111010101100001111111000111001000100010101100100001101111101100101100001011001
34,01110011101001001010100110011110001001111100001010011111111011010101111110010100100100011100100100101111111111010101001110011100
35,10110011101100101001001100010010001011101111110101010101011010001101001110110011010111010011100111110110111001001011011001111110
36,10111001100011101100101101011110111010101110110000101110000101111011101101100111100000000101001110111101101001101001011101100101
37,10100111110101110101011100001010000111010010000101010011011101110110000101101010100101011011100000010110011011000000101101110000
38,10011101011011001011101001001101101001000101000101001011110111111111110001110110110011001000110010100010110110001101110101001010
39,11111010010110100100011000111000001011010001100010111011000010010001011011010100101101110010110110111110011000010010001000110001
40,00100010010000110100011011001100101011110111110011001001111011101001111101010110101110011001000101100111100101100001010100001110
41,11100011100101111011001001111001110111110111101000100111100101110010101101111110111001100010100011100011110110001101000010011100
42,00000110011100001111000010101111001011100100101010100101101011011100111100010111011111000001111110010101000010111100011000011010
43,10111100101000101100100111000111011010011010000100101001101011111101001111100011100111110100001001110011101111100011011100110110
44,10111111100010100011011010101111101111011111110101001111110010011010101100100000110011111011001000010110110011001111101100100010
45,00111101101011001100111010000110111101111111000111000011001011111111001110111110110101000100011001110001100110100001100001100011
46,11011010110011111010011111000110010001001101111001011110011111011001101101111111110111011110001111100000011011011110011000001110
47,10111000011100000010010010001110001111011101010001011101011100000000111100010000010100101000011011111011000111100011101111000101
48,11001011010111001001100100100101000110001000001001100100110001011111110110111011010000010001010010010111011000110100111000010101
49,00010100111001110100011110111100111011001000111001111110111001101110101110011001010100110000111111111111010110011101000101000100
50,11001111100100000111000111110101011010010101000101100011101010010011110101110110010110100010110100010010010011010010110100000111
51,10101101001110111100100011000011100111111100010110110010101001110110100011100110101100000110110010011011011010100110011100100110
52,01101011001001111010110011100110011001001101101101110111010010101010101110110100000100101111101011101000101011100101100101000000
53,11110000110011101110101010111001011111001101010101000000111001111001101100100111001000111011000010100101101100100110010100100101
54,00110000011000000110100110000111000011010010011101101100000111011100010100101111110111111110110100010011110110111001110111000011
55,11010001010100000010010010000000000111101111011010111011111011000111001111111111111010010000000111110111001011001000111100010101
56,10011010110011101000010011100111101111110101011010110100011010110111101001111010001010001000010100010011010111001100111101001001
57,10111011011101011011111110011011010110100101111001100110010110100011101110110001101000101000001011111000100101011110000001010100
58,10010010011110010100011011001101011011110101110000010010000001011100110101011101100001111010101001101111000001000010101011111110
59,00000100110001111100101001110100110110100100000010101110100101100001110110101001001000011101000111111001011010001111010101000001
60,11100010100000100111101011111001111111000010011100101111100111111000100101001100110110101111000101011111100100011011110011010010
61,10111010100001011110001010111100110101101101110010101111101011011011111101100100000001100110001111010111111110111111010011000111
62,10010001011001000110011001110111001101000001101000111001010000110110111101110000101100101100110100010110001100100000100001001101
63,11010000100000000101010001001000010000111111110111101001101001100010111110011000000111011100101110101100011001001100100011011010
64,10110111101000100010111011000111110000111101110010011010011110111000100110111001100011010000101010001011101111001111001110101100
65,00111011000011111001110111101111100001101100010110010111011110110100010010001011111000111001100110001000100001110100010101011111
66,11000010100100111000111101100100010111110110111011111000110100011101111100010011010000110000101100111111101011011010100101000100
67,01111001001010010001101110110111010011110100001110010000000011110010010011110110001000100100011110100111010100110111101110100010
68,11111111111100001111111000000000000110111001110000100010010110000110101001000111111001101001101111110010000000011001110111101101
69,01001110101111011111011110110011010110010011001011111011011101010110110110100011101111100010100001001100101110001000010011011010
70,11110110100011111110010101011001010001111110110000111100011101000001011000001000011101111110110110010011010001011011110001101110
71,10000011000000000111110110000010111001111110010011101000100111111010111111110110011011110001010010011111011111100111110000110111
72,01100110000001101011010110111100000011011111011011001011101101110111101111110110011111000011101010101110111101101111000111110111
73,10101100010001010010100111101100100111111100010001011110011110110111111011101011000110111000101011101001110101101000001001101001
74,10010110110101001000001100011000001111010110111011100011110100110100011010110001101001001111010111100101100111100110011101011011
75,01100001100001100001000011100001101000111011111101110100100011101011011111011111101001000001100001101100000000110010100011111100
76,10101010011101011111001000110111101100100000000100001110110011001000111011001100011110001011110010011010111000100110100111011010
77,10011011001001111100100110110110010000101111110010101011101111110000100010000111111001010111100100010010100111101111111110111010
78,11100000101100011011100010100110011001010100000100110000110100100110100101110001110011101000010111010011100000010010110100011101
79,00010100011010001000011101001101000001111111111000111110111111000010011100000101100000101000011010001001001111100000101101001011
80,00100011001011111111010010010110100100110101001100110110111011010001110000011000100100011010010000001000000101110100001111100001
81,11010101010001100110111100011001110111100011011110100001001111111011010110101010011101010100101111101110010011011011110110110000
82,00001001011111001000101111111101100000000110101000100100000000111011111000001000010011000111001111100010011011111101110011001101
83,01000000000001011110100010011110111111000000011000100101110000110111011010111100011011100001000111011101000101111001010011011111
84,10000100101100011110101011010111011110000110001111001110010011100101011101001110000010000110101110011111001110100100100000100000
85,11010001011010111101111000001110001111011010001010100011110010111100011111110011011001111100101101000010111010111000000011100111
86,00001110101010000010100111000111001000000110111000111100000110111111111110110100101000010111011100011101010110101110010000111110
87,01111110010101101010001110111000110100011111101111100000010111010111110001100010100110011010111101111110111110000011110011001100
88,00101101100111011100111101000110101111110101111111101011110101001110001101101110110001101101001000101111101110010101100101110010
89,10010011100101101011101111101110100001110101010000000010110111001000111011110001011101111100101001010011101110110011001110110001
90,11101101011111100001000001100011100000110011110101010011011001101110000010100000000010001011111101000110010100111001101111110101
91,10010101101100010100011110001010101100101010000011101110010100010001001000100100011001110110110111100010011101101111100101111011
92,01001100011001110010101001001100001011110110011100111011100000100111101110110110011010101011111101010000001101100001011001000001
93,01110001100100100010100101011110010111110101001011001011100010001011111010011100110001001011111110100001111111111010111110011001
94,01011000010001111011010110011010000001011001110110111100101001001110110011110010110110110100101000001110111010110110100010110110
95,00010111000111000111100010101100111101011111011110100011010001010001010101000101101110000110101101011101100101011001100111101010
96,00111001010000101110001010110010111100110110111010101001111011111101011100000111101101011101100000011011110100111111101011110011
97,10010101111010110110110011110010001011100111001000100100010001111100001001101111010110100100001010101010010000111010000110001111
98,01101110010100000011111000110111010000110111000110101101010011100110001010011111100010111101011111101110001101101111101010011111
99,00101111101111110111100001101100110100010000001110000001000000000001100110101011111010111111101010111101001101000011000001100100
100,00101100000010001111100010001010111100001001101010000111100110011110111100101001011010111010011101110001111011000110111100110111
101,01101000101011010011101111110011101111011000001010001000000000100001010110011011110111111101011010001000111100110111100111110011
102,10100101010111111111110111000000000110110100010001001111000001010101101101011100000111010011100000011011000000011001010011010100
103,00001101111001001110111101110000010111111101001100011101110110111111111110110100111010101011011111001110000011011000100011110001
104,11111011011011011100000101101101101101000001010011101000111001001011001111111110010011111111100011010110111111110100001100110000
105,11100100010101110001011010011110011011111001110111101101101010111101001101011000110010000010011101000101101101000011111111010101
106,11110001010110111110111101100111110101111111011101000000111110001110101100100110010110011000000110111010011000101100001101010000
107,10010111011000000111110100101010101011110101110111111111111000000010001110010010100100111110000001111001000111100110101110110111
108,01100101100011000000001010111000001100100011001001111011001001111110110100101011001100101001000011101011010011001101000100111001
109,01001101111101010011000000110000101110011011011100001001001110010101100010010110110010101100101110011010100110011100110010001001
